Вопрос,Развернутый ответ,Правильный ответ,Вариант 1,Вариант 2,Ответ в картинке
Stolica Małopolski,"Małopolska – kraina historyczna Polski, obejmująca obecnie południowo-wschodnią część kraju, w górnym i częściowo środkowym dorzeczu Wisły oraz w dorzeczu górnej Warty. Stolicą Małopolski jest Kraków.",Kraków,Lublin,Radom,Kraków.jpg
W którym roku Polska odzyskała niepodległość?,"Odzyskanie niepodległości przez Polskę w 1918 – ciąg zdarzeń skutkujących ostatecznie odzyskaniem suwerenności przez Polskę po 123 latach zaborów. Współcześnie upamiętniające ten fakt państwowe Narodowe Święto Niepodległości obchodzone jest 11 listopada, w rocznicę przekazania władzy wojskowej Józefowi Piłsudskiemu, jednak lewica postuluje świętowanie w dniu 7 listopada, tj. w rocznicę utworzenia pierwszego rządu niepodległej Polski",1918,1920,1921,1918.jpg
W którym roku odbył się chrzest Polski?,"Chrzest Polski – tradycyjna nazwa chrztu księcia Polan Mieszka I, który zapoczątkował proces chrystianizacji ziem polskich. Niekiedy uważa się go również za symboliczne wydarzenie, które było początkiem państwa polskiego i polskiego Kościoła katolickiego. Datuje się go na rok 966",966,1021,1000,Chrest_polski.jpg
W którym roku odbył się I rozbiór Polski ,"1772 – I rozbiór Polski dokonany przez Rosję, Austrię i Prusy. ",1772,1775,1793,First_Partition_of_Poland1772.png
Jak inaczej nazywa się bitwa Warszawska?,"Bitwa Warszawska, zwyczajowo nazywana Cudem nad Wisłą – operacja wojskowa stoczona w dniach 13–25 sierpnia 1920 roku pomiędzy nacierającą na Warszawę i na północny zachód od niej Armią Czerwoną a Wojskiem Polskim, zgrupowanym nad Wisłą i Wieprzem, decydująca bitwa wojny polsko-bolszewickiej.",Cud nad Wisłą,Cud nad Warną,Zbrodnia Warszawska,Battle_of_Warsaw_1920.png
W którym roku odbył się II rozbiór Polski ,1793 – II rozbiór Polski dokonany przez Rosję i Prusy,1793,1773,1795,266px-Second_Partition_of_Poland_1793.png
W którym roku odbył się III rozbiór Polski ,"1795 – III rozbiór Polski dokonany przez Rosję, Austrię i Prusy. Abdykacja w Grodnie Króla Stanisława Augusta Poniatowskiego.",1795,1785,1797,400px-Partitions_of_Poland.png
Ile jest województw w Polsce,"Podział wygląda następująco (kolejność alfabetyczna):
1. dolnośląskie - Wrocław
2. kujawsko-pomorskie - Bydgoszcz (siedziba wojewody) i Toruń - (siedziba sejmiku wojewódzkiego)
3. lubelskie - Lublin
4. lubuskie - Gorzów Wielkopolski (siedziba wojewody) i Zielona Góra (siedziba sejmiku wojewódzkiego)
5. łódzkie - Łódź
6. małopolskie - Kraków
7. mazowieckie - Warszawa
8. opolskie - Opole
9. podkarpackie - Rzeszów
10. podlaskie - Białystok
11. pomorskie - Gdańsk
12. śląskie - Katowice
13. świętokrzyskie - Kielce
14. warmińsko-mazurskie - Olsztyn
15. wielkopolskie - Poznań
16. zachodniopomorskie - Szczecin",16,18,14,Wojewodztwa.svg.png
Gdzie urodził się	Mikołaj Kopernik?,Urodził się w Toruniu. Kopernik jest najbardziej znany jako astronom – twórca heliocentrycznego modelu Układu Słonecznego i prawdopodobnie pierwszy heliocentryk w Europie od czasów starożytnej Grecji.,w Toruniu,w Krakowe,w Lubline,Nikolaus_Kopernikus.jpg
Za co dostał nagrodę Nobla Władysław Reymont?,"Władysław Reymont – polski powieściopisarz i nowelista, laureat Nagrody Nobla za wybitny epos narodowy, powieść „Chłopi”. Powieść ta przedstawia życie społeczności wiejskiej na tle zmieniających się pór roku, ukazując głębokie powiązania ludzi z naturą i tradycją.",powieść „Chłopi”,„Quo vadis”,„Krzyżacy” ,Wladyslaw_Reymont_1897_(71364799)_(cropped).jpg
Kiedy Karol Wojtyła został wybrany na papieża,"Jan Paweł II (Karol Wojtyła) – Święty Kościoła katolickiego, urodzony 18 maja 1920 roku w Wadowicach, zmarł 2 kwietnia 2005 roku w Watykanie.
Był utalentowanym i wysportowanym chłopcem, interesował się teatrem oraz literaturą. W 1938 roku rozpoczął studia polonistyczne na Uniwersytecie Jagiellońskim. Jesienią 1941 roku założył Teatr Rapsodyczny, a w 1942 roku rozpoczął studia teologiczne w tajnym seminarium duchownym. Święcenia kapłańskie otrzymał 1 listopada 1946 roku, po czym kontynuował studia w Rzymie.
30 grudnia 1963 roku został mianowany arcybiskupem metropolitą krakowskim. 16 października 1978 roku wybrano go na papieża – pierwszego od XV wieku spoza Włoch. Jego pontyfikat charakteryzowały liczne podróże zagraniczne oraz inicjatywy, takie jak zapoczątkowanie Światowych Dni Młodzieży w 1985 roku.
",16 października 1978,18 lutego 1987,15 sierpnia 1987,Ritratto_di_papa_Giovanni_Paolo_II_(1984_–_edited).jpg
